('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      262    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      256    0.000    0.000    0.008    0.000 _decoders.py:95(decode)
      195    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
 1288/922    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1712    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      213    0.000    0.000    0.157    0.001 <frozen importlib._bootstrap_external>:1089(path_stats)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      435    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
  215/175    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       98    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      513    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      195    0.000    0.000    0.031    0.000 sre_compile.py:622(_code)
     1402    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
      752    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      244    0.000    0.000    0.459    0.002 <frozen importlib._bootstrap_external>:1431(find_spec)
      455    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
     2810    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      852    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      123    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       89    0.000    0.000    0.003    0.000 typing.py:1138(__getitem__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      604    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2759    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      288    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      195    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      297    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     3049    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  214/212    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       57    0.000    0.000    0.001    0.000 dataclasses.py:722(_get_field)
      592    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
    290/6    0.000    0.000    1.124    0.187 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.005    0.005 _models.py:641(text)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      2/1    0.000    0.000    0.000    0.000 {method 'send' of 'generator' objects}
      100    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      258    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
       52    0.000    0.000    0.001    0.000 typing.py:1350(__init_subclass__)
      594    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      303    0.000    0.000    0.227    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       38    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
       26    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      185    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
  546/339    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      135    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
       46    0.000    0.000    0.001    0.000 typing.py:801(__init__)
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      441    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      454    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      767    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
     1321    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      943    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
     1563    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      257    0.000    0.000    1.201    0.005 _client.py:152(__iter__)
      257    0.000    0.000    1.200    0.005 http11.py:330(__iter__)
      441    0.000    0.000    0.001    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
       86    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
     1321    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       78    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      257    0.000    0.000    1.200    0.005 connection_pool.py:401(__iter__)
      257    0.000    0.000    1.200    0.005 default.py:125(__iter__)
      118    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      844    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      533    0.000    0.000    0.000    0.000 element.py:2160(get)
