('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  138/106    0.000    0.000    0.005    0.000 typing.py:401(__getitem__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      135    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
      133    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      128    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      123    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      123    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      121    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      118    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      114    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
