('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         754775 function calls (730800 primitive calls) in 7.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    1.443    1.443 sessions.py:673(send)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       17    0.000    0.000    0.012    0.001 <frozen zipimport>:64(__init__)
    31/17    0.000    0.000    0.459    0.027 {built-in method builtins.__import__}
       17    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      176    0.000    0.000    0.006    0.000 sre_parse.py:97(closegroup)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      237    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      508    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      408    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
      511    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
      343    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       24    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
        1    0.000    0.000    0.000    0.000 response.py:301(BaseHTTPResponse)
       58    0.000    0.000    0.265    0.005 client.py:624(_safe_read)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
       62    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       63    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       50    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        1    0.000    0.000    0.132    0.132 connectionpool.py:1(<module>)
      385    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
      197    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        1    0.000    0.000    0.000    0.000 parse.py:669(unquote)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.071    0.071 sessions.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sessions.py:799(mount)
        1    0.000    0.000    0.311    0.311 connection.py:669(connect)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      602    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      169    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fc6d27341f0}
      113    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      169    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      320    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      194    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
       14    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
    87/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
